Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Pivotable date
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-06,257,monthly,454415,01/06/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-07,189,monthly,368343,01/07/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-07,332,monthly,448966,01/07/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-08,218,monthly,365932,01/08/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-08,364,monthly,440829,01/08/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-09,271,monthly,366285,01/09/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-09,328,monthly,441546,01/09/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-10,244,monthly,362002,01/10/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-10,297,monthly,436006,01/10/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-11,282,monthly,357621,01/11/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-11,280,monthly,438770,01/11/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-12,267,monthly,355100,01/12/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-12,314,monthly,438768,01/12/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-01,184,monthly,358029,01/01/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-01,236,monthly,434143,01/01/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-02,150,monthly,363433,01/02/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-02,228,monthly,427634,01/02/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-03,146,monthly,366830,01/03/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-03,276,monthly,429001,01/03/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-04,151,monthly,366811,01/04/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-04,214,monthly,432636,01/04/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-05,181,monthly,368293,01/05/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-05,254,monthly,427868,01/05/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-06,217,monthly,359551,01/06/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-06,257,monthly,428522,01/06/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-07,221,monthly,359773,01/07/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-07,394,monthly,432010,01/07/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-08,174,monthly,361975,01/08/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-08,408,monthly,440728,01/08/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-09,174,monthly,369382,01/09/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-09,281,monthly,445532,01/09/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-10,173,monthly,368540,01/10/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-10,250,monthly,450433,01/10/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-11,181,monthly,361658,01/11/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-11,233,monthly,450732,01/11/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2019-12,124,monthly,358968,01/12/2019
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2019-12,221,monthly,456254,01/12/2019
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2020-01,123,monthly,367035,01/01/2020
